# x, y
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 -7.500000298023223877e-02 -1.666666865348815918e-01
1.000000000000000000e+00 -7.500000298023223877e-02 -1.666666865348815918e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 -7.500000298023223877e-02 -1.666666865348815918e-01
5.000000000000000000e-01 -6.770830601453781128e-03 -1.458333432674407959e-01
2.500000000000000000e-01 8.691405877470970154e-03 -9.635416418313980103e-02
7.500000000000000000e-01 -3.662109375000000000e-02 -1.640625000000000000e-01
1.250000000000000000e-01 8.127848617732524872e-03 -5.501301959156990051e-02
6.250000000000000000e-01 -2.035522460937500000e-02 -1.578776091337203979e-01
3.750000000000000000e-01 3.277588635683059692e-03 -1.259765625000000000e-01
8.750000000000000000e-01 -5.495808273553848267e-02 -1.663411557674407959e-01
6.250000000000000000e-02 5.118179600685834885e-03 -2.933756448328495026e-02
5.625000000000000000e-01 -1.318015903234481812e-02 -1.527099609375000000e-01
3.125000000000000000e-01 6.642024964094161987e-03 -1.125081330537796021e-01
8.125000000000000000e-01 -4.555930942296981812e-02 -1.655680239200592041e-01
1.875000000000000000e-01 9.250259026885032654e-03 -7.727050781250000000e-02
6.875000000000000000e-01 -2.819684520363807678e-02 -1.615803986787796021e-01
4.375000000000000000e-01 -1.241683959960937500e-03 -1.370035707950592041e-01
9.375000000000000000e-01 -6.477928161621093750e-02 -1.666259765625000000e-01
3.125000000000000000e-02 2.837077947333455086e-03 -1.514180470257997513e-02
5.312500000000000000e-01 -9.872984141111373901e-03 -1.495005190372467041e-01
2.812500000000000000e-01 7.841706275939941406e-03 -1.047821044921875000e-01
7.812500000000000000e-01 -4.102964699268341064e-02 -1.649220883846282959e-01
1.562500000000000000e-01 8.911728858947753906e-03 -6.655374914407730103e-02
6.562500000000000000e-01 -2.419831603765487671e-02 -1.598968505859375000e-01
4.062500000000000000e-01 1.152889803051948547e-03 -1.317799985408782959e-01
9.062500000000000000e-01 -5.981767177581787109e-02 -1.665293276309967041e-01
9.375000000000000000e-02 6.872392259538173676e-03 -4.261779785156250000e-02
5.937500000000000000e-01 -1.667853444814682007e-02 -1.554921418428421021e-01
3.437500000000000000e-01 5.113815888762474060e-03 -1.195627897977828979e-01
8.437500000000000000e-01 -5.020387098193168640e-02 -1.660308837890625000e-01
2.187500000000000000e-01 9.168713353574275970e-03 -8.719380944967269897e-02
7.187500000000000000e-01 -3.234078735113143921e-02 -1.629587858915328979e-01
4.687500000000000000e-01 -3.888487815856933594e-03 -1.416778564453125000e-01
9.687500000000000000e-01 -6.984054297208786011e-02 -1.666615605354309082e-01
1.562500000000000000e-02 1.489891088567674160e-03 -7.691065315157175064e-03
5.156250000000000000e-01 -8.295379579067230225e-03 -1.477260589599609375e-01
2.656250000000000000e-01 8.311681449413299561e-03 -1.006577759981155396e-01
