# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.019518852233886719e+00 6.933242678642272949e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.874595694243907928e-02 1.504548708908259869e-03 9.024745941162109375e+00 6.523126959800720215e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.874595694243907928e-02 1.504548708908259869e-03 1.942505121231079102e+00
1.000000000000000000e+03 1.388444448821246624e-03 3.898344701156020164e-03 2.817350832629017532e-06 5.440007589641027153e-05 1.990151824429631233e-03 1.839398522861301899e-03 1.187706482596695423e-03 3.791558090597391129e-03 2.817350832629017532e-06 5.440007589641027153e-05 1.990151824429631233e-03 1.839398522861301899e-03 1.406258940696716309e+00
2.000000000000000000e+03 1.170048562926240265e-04 1.483807340264320374e-03 5.787120471723028459e-08 4.637062147594406269e-07 7.039338379399850965e-05 1.214118557982146740e-03 9.671109000919386744e-05 1.324744778685271740e-03 5.787120471723028459e-08 4.637062147594406269e-07 7.039338379399850965e-05 1.214118557982146740e-03 9.750156402587890625e-01
3.000000000000000000e+03 1.701542787486687303e-04 1.155392383225262165e-03 4.528434516259949305e-09 3.756198907467478421e-08 1.400458586431341246e-05 8.768599946051836014e-04 1.528653665445744991e-04 9.976740693673491478e-04 4.528434516259949305e-09 3.756198907467478421e-08 1.400458586431341246e-05 8.768599946051836014e-04 8.237483501434326172e-01
4.000000000000000000e+03 2.381911472184583545e-04 8.493060013279318810e-04 3.095084633031319754e-09 3.688888483566188370e-08 9.745988791109994054e-06 6.183044170029461384e-04 2.104552841046825051e-04 7.318647694773972034e-04 3.095084633031319754e-09 3.688888483566188370e-08 9.745988791109994054e-06 6.183044170029461384e-04 7.053657174110412598e-01
5.000000000000000000e+03 2.955006202682852745e-04 5.975503008812665939e-04 2.334173965223840241e-09 1.826570145135875123e-11 7.303590336960041896e-06 3.677057975437492132e-04 2.596036065369844437e-04 5.152472294867038727e-04 2.334173965223840241e-09 1.826570145135875123e-11 7.303590336960041896e-06 3.677057975437492132e-04 5.866435766220092773e-01
6.000000000000000000e+03 3.218254423700273037e-04 3.924948978237807751e-04 5.472569064579602127e-09 2.557407396963640167e-09 5.653918378811795264e-06 1.965249830391258001e-04 2.816198975779116154e-04 3.406893811188638210e-04 5.472569064579602127e-09 2.557407396963640167e-09 5.653918378811795264e-06 1.965249830391258001e-04 5.012798905372619629e-01
7.000000000000000000e+03 3.122727503068745136e-04 2.677813463378697634e-04 4.726621316564205699e-10 1.356729395496358848e-09 3.515310936563764699e-06 8.954803342930972576e-05 2.728692779783159494e-04 2.328786649741232395e-04 4.726621316564205699e-10 1.356729395496358848e-09 3.515310936563764699e-06 8.954803342930972576e-05 4.665128290653228760e-01
8.000000000000000000e+03 2.776939654722809792e-04 2.281687920913100243e-04 2.050628555849698387e-10 6.229645777011683094e-08 3.203266942364280112e-06 3.064685370191000402e-05 2.440759417368099093e-04 2.042797568719834089e-04 2.050628555849698387e-10 6.229645777011683094e-08 3.203266942364280112e-06 3.064685370191000402e-05 4.700734019279479980e-01
9.000000000000000000e+03 2.429994492558762431e-04 1.380567555315792561e-04 2.761999695621852879e-08 6.811828878738879212e-11 2.574125119281234220e-06 1.370171321468660608e-05 2.180053270421922207e-04 1.245151070179417729e-04 2.761999695621852879e-08 6.811828878738879212e-11 2.574125119281234220e-06 1.370171321468660608e-05 4.823791682720184326e-01
1.000000000000000000e+04 1.822384656406939030e-04 1.092139646061696112e-04 6.050360212839223095e-11 1.444898778402148309e-08 1.336401624030258972e-06 4.498331236391095445e-06 1.595382782397791743e-04 9.689555736258625984e-05 6.050360212839223095e-11 1.444898778402148309e-08 1.336401624030258972e-06 4.498331236391095445e-06 5.014311671257019043e-01
